ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,PayingAdvertiserName,Gender,AgeBracket,CountryCode,,,,,,,,,
e50d49a550ba8ba171185e77de0f2892c217858d34b6a5ce676c73987042a192,https://www.snap.com/political-ads/asset/7dbb6c557638e0d27e563277d1424f632e913f4e03a26830d834107fd318a8fe?mediaType=mp4,USD,100,16416,2018/10/24 14:32:39Z,2018/11/06 23:24:36Z,Chakra Strategies,Oregon Life United,,20+,united states,,,,,,,,,
f8211f26e0a823f8d809f8b5f2d5888dc13f9da135b615ec9c0f64fd1d7e1e7b,https://www.snap.com/political-ads/asset/ca5603d460ef9bfa304a36650cdada9f45c172a05d8be8a6a2c603577347bd6b?mediaType=mp4,USD,361,113000,2018/08/20 20:53:27Z,2018/10/17 06:59:59Z,Bully Pulpit Interactive,NextGen America,,18-34,united states,,,,,,,,,
a36adea56632603c385da1ea4c9aeab95384ad7ddb1656a9f93c6b2dee6eea36,https://www.snap.com/political-ads/asset/1976f449144edabc592201349051937dbe635d6b24dc13be58d7314a6a1f3f29?mediaType=mp4,EUR,2008,804011,2018/12/03 09:51:19Z,2018/12/23 11:51:22Z,Reprise Media,Sundhedsstyrelsen,,19-19,denmark,,,,,,,,,
cbae8b96fa85dbbf120e8fc1f33ae456d7b08ccce4ecdbe145f4fe4b36b00e67,https://www.snap.com/political-ads/asset/4c85fa40301256826725786b758dcbc6d26bb499c5bc22c18a0f054721e4332b?mediaType=mp4,GBP,123,56913,2018/11/27 21:44:19Z,2019/01/13 21:43:53Z,Amnesty International UK,Amnesty International UK,,25+,united kingdom,,,,,,,,,
d1f5e2d2e70a354a5d24cf11a0f7e856fcd42d9df6f222582fc024485e11a8a1,https://www.snap.com/political-ads/asset/560f0d3d77aafa57d8084e51e24ff8d19438768f1de3aa8c7d16e9ca47a360ea?mediaType=png,USD,2134,598413,2018/10/02 17:28:33Z,2018/10/09 03:59:44Z,ACRONYM,Knock The Vote,,18-28,united states,,,,,,,,,
468ecd98c3684e18fa0b5606f75974f1296bd65f8f66437ba3d890099ad3015d,https://www.snap.com/political-ads/asset/752510b5dc0cd281af3899f109852bec4e82093f58b754dd5ac533e3ae360aee?mediaType=png,USD,57,6134,2018/10/30 17:58:01Z,2018/11/06 22:59:59Z,Mothership Strategies,Progressive Turnout Project,,18+,united states,,,,,,,,,
aaf0089ae46db0cae39f94635393caa76209bf80c8536fc00d4098714e747694,https://www.snap.com/political-ads/asset/9ff8ee20d0aaf12c42e6fce2f19cf2d241480963d343ff2faaaaed6bc80fd4ac?mediaType=mp4,USD,1608,458117,2018/08/23 15:40:21Z,,"LoudDoor, LLC",Paid For by Trooien For USSenate,,18+,united states,,,,,,,,,
a8da72b824107af36bbf3fa9cbafca94736d6cd481645f553b0bff5a897b07e0,https://www.snap.com/political-ads/asset/6bfcd2d71d1a50bf43c64f4510b97231bc716db3accc1b539f00ec6d1b66aaf9?mediaType=png,USD,148,18992,2018/10/30 17:58:01Z,2018/11/06 22:59:59Z,Mothership Strategies,Progressive Turnout Project,,18+,united states,,,,,,,,,
ebee4c161a525f5a39030ef2d743bf4e5dfd20b3a8a44f86c205685c2b1059f4,https://www.snap.com/political-ads/asset/bba83dcbfbfe2e22b04b747fd813f5bea09cdb7f177741c91c276fac6bb73c85?mediaType=mp4,USD,327,102451,2018/09/01 16:00:00Z,2018/10/01 06:59:00Z,"Do Something, Inc.",DoSomething.org,,18-20,united states,,,,,,,,,
73c01406bb7d80f2c05e363afa61a0bf7713c6618b6965d089f03fd6616a36af,https://www.snap.com/political-ads/asset/64b79a8e07b4b1546696aabe0ba06859ef9c799e2ad609bb95271e550ce677ee?mediaType=mp4,EUR,69,24144,2018/11/27 05:00:44Z,2019/01/13 11:31:15Z,Maxlead Services B.V.,Consumentenbond,,18-34,netherlands,,,,,,,,,
2fe9f82954815b17b0150592465b6601664cf1c21633e0317994ec65b00469b6,https://www.snap.com/political-ads/asset/bba83dcbfbfe2e22b04b747fd813f5bea09cdb7f177741c91c276fac6bb73c85?mediaType=mp4,USD,17,5888,2018/09/01 16:00:00Z,2018/10/01 06:59:00Z,"Do Something, Inc.",DoSomething.org,,18-20,united states,,,,,,,,,
0b6796cb357ae98c6f022d607346697333f7bd658bd085e141ec87aa3806e239,https://www.snap.com/political-ads/asset/623887f895ef6641d0b7b54c168fbb7d4de55df9f62aab52b3eebbd46969071d?mediaType=mp4,EUR,165,150559,2018/12/12 09:25:31Z,2018/12/18 22:59:59Z,Jalt,Amnesty International NL,,18+,netherlands,,,,,,,,,
3280f6b6b7a15f79be9360c90544d24f59c806af6eb62e83cd8a8151d3e0704e,https://www.snap.com/political-ads/asset/eeb5d0eb7394d94794a1839ea618e26b56e362a1ed694d44e6173fcaaf78ff4a?mediaType=mov,CAD,303,183780,2018/07/20 23:09:54Z,2018/09/04 03:59:00Z,The Aber Group,Plan International Canada,FEMALE,,canada,,,,,,,,,
10b64550ad4a23c651d7883746cabeac93cbd92d5f3b3fa7a26a5529dfc89a4a,https://www.snap.com/political-ads/asset/818ae4783edd7cbf1a45d3707641a2a5409dd8114fffbc3e244f9acc5c0b138c?mediaType=mp4,USD,3698,573475,2018/11/02 16:20:57Z,2018/11/06 18:15:30Z,The Prosper Group,No On L,,18+,united states,,,,,,,,,
a1d34332785fde2cd9a0887981e01733c61db4ec7d39ce6df4481d480647c4f5,https://www.snap.com/political-ads/asset/2c63e124597b1abe236e0da71e8f32fc43c89c4d34ececd6b9e51e906290e676?mediaType=mp4,USD,8662,1163232,2018/10/30 17:45:51Z,2018/11/07 00:00:00Z,"GMMB, Inc",JB for Governor,,35++,united states,,,,,,,,,
ec3b340a50e035426f3daddc795c19fe702a2eb9b05f3d42516dea11312a258a,https://www.snap.com/political-ads/asset/a78973fd8768f3e3d39f57c067e0f4d41951a05c1cab3eceb6ab5b6e2d18d351?mediaType=mov,USD,298,77563,2018/10/23 04:05:44Z,2018/11/07 01:55:29Z,Open Hand Media,PPOSBC Community Action Fund PAC,FEMALE,18+,united states,,,,,,,,,
